State Dimensions: 364
Action Dimensions: 2
Action Max: 0.2 m/s and 1 rad/s
---------------------- EPISODE 1 --------------------
waiting for service
reset called
[INFO] [1650672289.419011, 0.831000]: Goal position : 0.6, 0.0
0.6 0.0
step: 69 | reward: 2.0000000000000018 | done: False | action: 0.06334259361028671,1.0
step: 70 | reward: 2.0000000000000018 | done: False | action: 0.06230461224913597,1.0
step: 71 | reward: 2.0000000000000018 | done: False | action: 0.06220375373959541,1.0
step: 72 | reward: 1.9999999999999796 | done: False | action: 0.05053474381566048,1.0
step: 73 | reward: 2.0000000000000018 | done: False | action: 0.047838907688856125,1.0
step: 74 | reward: -8.0 | done: False | action: 0.06332648545503616,1.0
step: 75 | reward: 4.0000000000000036 | done: False | action: 0.07683781534433365,0.9424554705619812
step: 76 | reward: -8.0 | done: False | action: 0.05138962343335152,0.6352390050888062
step: 77 | reward: 2.0000000000000018 | done: False | action: 0.051387712359428406,0.49838849902153015
step: 78 | reward: 2.0000000000000018 | done: False | action: 0.06078851968050003,0.439142644405365
step: 79 | reward: -8.0 | done: False | action: 0.06055879592895508,0.6145338416099548
step: 80 | reward: 2.0000000000000018 | done: False | action: 0.061543405055999756,0.6242569088935852
step: 81 | reward: -8.0 | done: False | action: 0.06424060463905334,0.7386823296546936
step: 82 | reward: -8.0 | done: False | action: 0.04709037393331528,0.8261935114860535
step: 83 | reward: -8.0 | done: False | action: 0.052698977291584015,0.6729994416236877
step: 84 | reward: -8.0 | done: False | action: 0.06280490010976791,0.6433551907539368
step: 85 | reward: -8.0 | done: False | action: 0.06851264089345932,0.5659095048904419
step: 86 | reward: -8.0 | done: False | action: 0.0677981898188591,0.6077011227607727
step: 87 | reward: -8.0 | done: False | action: 0.06074770167469978,0.5814249515533447
step: 88 | reward: -8.0 | done: False | action: 0.04705510661005974,0.36739909648895264
step: 89 | reward: -8.0 | done: False | action: 0.0392279326915741,0.5058667659759521
step: 90 | reward: -8.0 | done: False | action: 0.03642715513706207,0.6184168457984924
step: 91 | reward: -8.0 | done: False | action: 0.02881457470357418,0.8762481808662415
step: 92 | reward: -8.0 | done: False | action: 0.029535098001360893,0.8451569676399231
step: 93 | reward: -8.0 | done: False | action: 0.03983021527528763,0.7801387310028076
step: 94 | reward: -8.0 | done: False | action: 0.037422358989715576,0.8444256782531738
step: 95 | reward: -8.0 | done: False | action: 0.05238887667655945,0.9893754124641418
step: 96 | reward: -8.0 | done: False | action: 0.06707053631544113,0.9965644478797913
step: 97 | reward: -8.0 | done: False | action: 0.0643957108259201,0.8744744062423706
step: 98 | reward: -8.0 | done: False | action: 0.06725822389125824,0.9472491145133972
step: 99 | reward: -8.0 | done: False | action: 0.07226596772670746,1.0
step: 100 | reward: -8.0 | done: False | action: 0.08092045783996582,1.0
------------------------------------- EPISODE END -----------------------------------------
---------------------- EPISODE 2 --------------------
waiting for service
reset called
[INFO] [1650672310.486689, 1.023000]: Goal position : -1.1, 1.1
-1.1 1.1
step: 101 | reward: -8.0 | done: False | action: 0.08316431194543839,1.0
step: 102 | reward: -8.0 | done: False | action: 0.06807917356491089,1.0
step: 103 | reward: -8.0 | done: False | action: 0.07385159283876419,1.0
step: 104 | reward: -8.0 | done: False | action: 0.0694672092795372,1.0
step: 105 | reward: -8.0 | done: False | action: 0.059788577258586884,1.0
step: 106 | reward: 2.0000000000000018 | done: False | action: 0.05998063087463379,1.0
step: 107 | reward: -8.0 | done: False | action: 0.06945062428712845,0.9047181606292725
